,AAPL,GOOG,MSFT
2025-09-09 17:16:00+00:00,238.1300048828125,238.07000732421875,
2025-09-09 17:17:00+00:00,238.4499969482422,238.22000122070312,
2025-09-09 17:18:00+00:00,238.22500610351562,238.27999877929688,
2025-09-09 17:19:00+00:00,238.018798828125,238.07000732421875,
2025-09-09 17:20:00+00:00,238.1031951904297,238.1699981689453,
2025-09-09 17:21:00+00:00,238.05999755859375,238.13900756835938,
2025-09-09 17:22:00+00:00,237.6699981689453,238.16000366210938,
2025-09-09 17:23:00+00:00,237.52999877929688,238.3000030517578,
2025-09-09 17:24:00+00:00,237.70989990234375,238.22999572753906,
2025-09-09 17:25:00+00:00,237.82000732421875,238.2550048828125,
2025-09-09 17:26:00+00:00,238.2050018310547,238.25999450683594,
2025-09-09 17:27:00+00:00,237.94000244140625,238.14999389648438,
2025-09-09 17:28:00+00:00,237.89999389648438,238.27499389648438,
2025-09-09 17:29:00+00:00,237.75,238.30999755859375,
2025-09-09 17:30:00+00:00,237.9600067138672,238.19000244140625,
2025-09-09 17:31:00+00:00,237.5399932861328,238.1750030517578,
2025-09-09 17:32:00+00:00,237.22000122070312,238.07000732421875,
2025-09-09 17:33:00+00:00,237.1584014892578,238.0800018310547,
2025-09-09 17:34:00+00:00,237.15789794921875,238.02999877929688,
2025-09-09 17:35:00+00:00,237.1199951171875,237.9250030517578,
2025-09-09 17:36:00+00:00,237.375,237.9600067138672,
2025-09-09 17:37:00+00:00,237.0800018310547,238.0399932861328,
2025-09-09 17:38:00+00:00,236.9149932861328,238.14840698242188,
2025-09-09 17:39:00+00:00,237.0800018310547,238.05999755859375,
2025-09-09 17:40:00+00:00,236.9149932861328,237.9573974609375,
2025-09-09 17:41:00+00:00,237.29879760742188,237.9499969482422,
2025-09-09 17:42:00+00:00,237.07000732421875,237.9199981689453,
2025-09-09 17:43:00+00:00,236.9499969482422,237.9600067138672,
2025-09-09 17:44:00+00:00,236.8300018310547,238.01499938964844,
2025-09-09 17:45:00+00:00,236.94500732421875,238.11000061035156,
2025-09-09 17:46:00+00:00,237.2895050048828,238.03500366210938,
2025-09-09 17:47:00+00:00,236.94000244140625,238.22000122070312,
2025-09-09 17:48:00+00:00,236.63999938964844,238.1300048828125,
2025-09-09 17:49:00+00:00,236.5500030517578,238.14500427246094,
2025-09-09 17:50:00+00:00,236.7126007080078,238.13499450683594,
2025-09-09 17:51:00+00:00,236.47000122070312,238.36000061035156,
2025-09-09 17:52:00+00:00,236.78500366210938,238.50999450683594,
2025-09-09 17:53:00+00:00,236.5399932861328,238.50999450683594,
2025-09-09 17:54:00+00:00,236.6300048828125,238.5,
2025-09-09 17:55:00+00:00,236.7100067138672,238.5,
2025-09-09 17:56:00+00:00,236.7283935546875,238.47999572753906,
2025-09-09 17:57:00+00:00,236.56500244140625,238.4499969482422,
2025-09-09 17:58:00+00:00,236.85679626464844,238.5399932861328,
2025-09-09 17:59:00+00:00,236.52999877929688,238.61000061035156,
2025-09-09 18:00:00+00:00,236.74000549316406,238.6199951171875,
2025-09-09 18:01:00+00:00,236.58999633789062,238.63999938964844,
2025-09-09 18:02:00+00:00,236.56500244140625,238.7100067138672,
2025-09-09 18:03:00+00:00,236.52000427246094,238.75,
2025-09-09 18:04:00+00:00,236.27999877929688,238.8300018310547,
2025-09-09 18:05:00+00:00,236.18499755859375,238.8699951171875,
2025-09-09 18:06:00+00:00,236.19000244140625,238.82000732421875,
2025-09-09 18:07:00+00:00,236.27000427246094,239.0,
2025-09-09 18:08:00+00:00,236.07000732421875,239.05599975585938,
2025-09-09 18:09:00+00:00,235.79010009765625,239.09500122070312,
2025-09-09 18:10:00+00:00,235.07000732421875,239.1199951171875,
2025-09-09 18:11:00+00:00,234.7187042236328,238.94000244140625,
2025-09-09 18:12:00+00:00,233.88999938964844,238.59640502929688,
2025-09-09 18:13:00+00:00,234.67999267578125,238.50999450683594,
2025-09-09 18:14:00+00:00,235.07000732421875,238.80999755859375,
2025-09-09 18:15:00+00:00,234.4499969482422,238.9199981689453,
2025-09-09 18:16:00+00:00,234.8300018310547,238.8800048828125,
2025-09-09 18:17:00+00:00,234.74000549316406,238.72000122070312,
2025-09-09 18:18:00+00:00,234.28500366210938,238.7397003173828,
2025-09-09 18:19:00+00:00,234.42999267578125,238.7100067138672,
2025-09-09 18:20:00+00:00,234.42999267578125,238.68020629882812,
2025-09-09 18:21:00+00:00,234.6829071044922,238.77000427246094,
2025-09-09 18:22:00+00:00,234.7303009033203,238.72000122070312,
2025-09-09 18:23:00+00:00,234.74000549316406,238.8000030517578,
2025-09-09 18:24:00+00:00,234.82000732421875,238.82000732421875,
2025-09-09 18:25:00+00:00,234.80999755859375,238.85000610351562,
2025-09-09 18:26:00+00:00,234.66000366210938,238.82000732421875,
2025-09-09 18:27:00+00:00,234.61000061035156,238.97500610351562,
2025-09-09 18:28:00+00:00,234.6199951171875,238.9949951171875,
2025-09-09 18:29:00+00:00,234.52859497070312,238.85000610351562,
2025-09-09 18:30:00+00:00,234.58999633789062,238.83999633789062,
2025-09-09 18:31:00+00:00,234.4947967529297,238.75689697265625,
2025-09-09 18:32:00+00:00,234.3350067138672,238.80999755859375,
2025-09-09 18:33:00+00:00,234.0800018310547,238.7050018310547,
2025-09-09 18:34:00+00:00,234.22999572753906,238.72000122070312,
2025-09-09 18:35:00+00:00,234.19000244140625,238.66000366210938,
2025-09-09 18:36:00+00:00,234.17300415039062,238.66000366210938,
2025-09-09 18:37:00+00:00,234.19000244140625,238.72999572753906,
2025-09-09 18:38:00+00:00,234.10009765625,238.7902069091797,
2025-09-09 18:39:00+00:00,233.89999389648438,238.99000549316406,
2025-09-09 18:40:00+00:00,234.2899932861328,239.1300048828125,
2025-09-09 18:41:00+00:00,234.1999969482422,239.16000366210938,
2025-09-09 18:42:00+00:00,233.9904022216797,239.19000244140625,
2025-09-09 18:43:00+00:00,233.86000061035156,239.27999877929688,
2025-09-09 18:44:00+00:00,233.80499267578125,239.3300018310547,
2025-09-09 18:45:00+00:00,233.83999633789062,239.61000061035156,
2025-09-09 18:46:00+00:00,233.5850067138672,239.6750030517578,
2025-09-09 18:47:00+00:00,233.5211944580078,239.75,
2025-09-09 18:48:00+00:00,233.64610290527344,239.58999633789062,
2025-09-09 18:49:00+00:00,233.72000122070312,239.78500366210938,
2025-09-09 18:50:00+00:00,233.69000244140625,239.6999969482422,
2025-09-09 18:51:00+00:00,233.7100067138672,239.56500244140625,
2025-09-09 18:52:00+00:00,233.8249969482422,239.61000061035156,
2025-09-09 18:53:00+00:00,233.80999755859375,239.8350067138672,
2025-09-09 18:54:00+00:00,233.64500427246094,239.82000732421875,
2025-09-09 18:55:00+00:00,233.8000030517578,239.97999572753906,
2025-09-09 18:56:00+00:00,233.69000244140625,240.07020568847656,
2025-09-09 18:57:00+00:00,233.63999938964844,239.97000122070312,
2025-09-09 18:58:00+00:00,233.4250030517578,239.8699951171875,
2025-09-09 18:59:00+00:00,233.73989868164062,239.99000549316406,
2025-09-09 19:00:00+00:00,233.64500427246094,239.95010375976562,
2025-09-09 19:01:00+00:00,233.67999267578125,240.0,
2025-09-09 19:02:00+00:00,233.8939971923828,239.7299041748047,
2025-09-09 19:04:00+00:00,233.75120544433594,239.6199951171875,
2025-09-09 19:05:00+00:00,233.77999877929688,239.74000549316406,
2025-09-09 19:06:00+00:00,233.84979248046875,239.77699279785156,
2025-09-09 19:07:00+00:00,233.77000427246094,239.6365966796875,
2025-09-09 19:08:00+00:00,233.96499633789062,239.5308074951172,
2025-09-09 19:09:00+00:00,233.95089721679688,239.51499938964844,
2025-09-09 19:10:00+00:00,233.94000244140625,239.63999938964844,
2025-09-09 19:11:00+00:00,234.01739501953125,239.58999633789062,
2025-09-09 19:12:00+00:00,233.96319580078125,239.6199951171875,
2025-09-09 19:13:00+00:00,234.07699584960938,239.65499877929688,
2025-09-09 19:14:00+00:00,234.22999572753906,239.6199951171875,
2025-09-09 19:15:00+00:00,234.4499969482422,239.59719848632812,
2025-09-09 19:16:00+00:00,234.25689697265625,239.68499755859375,
2025-09-09 19:17:00+00:00,234.30999755859375,239.77000427246094,
2025-09-09 19:18:00+00:00,234.33999633789062,239.72999572753906,
2025-09-09 19:19:00+00:00,234.3000030517578,239.8000030517578,
2025-09-09 19:20:00+00:00,234.41000366210938,239.90150451660156,
2025-09-09 19:21:00+00:00,234.38999938964844,239.9550018310547,
2025-09-09 19:22:00+00:00,234.42999267578125,239.9530029296875,
2025-09-09 19:23:00+00:00,234.4199981689453,239.97000122070312,
2025-09-09 19:24:00+00:00,234.38499450683594,240.09500122070312,
2025-09-09 19:25:00+00:00,234.41000366210938,240.1699981689453,
2025-09-09 19:26:00+00:00,234.47999572753906,240.2100067138672,
2025-09-09 19:27:00+00:00,234.42649841308594,240.25999450683594,
2025-09-09 19:28:00+00:00,234.42999267578125,240.2899932861328,
2025-09-09 19:29:00+00:00,234.30999755859375,240.27000427246094,
2025-09-09 19:30:00+00:00,234.33999633789062,240.2100067138672,
2025-09-09 19:31:00+00:00,234.30499267578125,240.27999877929688,
2025-09-09 19:32:00+00:00,234.18499755859375,240.2949981689453,
